216.01,5.1944
216.95,6.2147
217.64,6.9729
218.33,7.7309
219.03,8.4887
219.72,9.2462
220.41,10.003
221.1,10.76
221.79,11.516
222.48,12.271
223.17,13.026
223.86,13.78
224.55,14.533
225.24,15.286
225.92,16.037
226.61,16.788
227.29,17.538
227.98,18.287
228.66,19.035
229.35,19.783
230.03,20.529
230.71,21.275
231.39,22.021
232.07,22.765
232.75,23.509
233.43,24.252
234.11,24.995
234.79,25.737
235.46,26.478
236.14,27.219
236.82,27.96
237.5,28.7
238.17,29.44
238.85,30.18
239.52,30.919
240.2,31.659
240.88,32.397
241.55,33.136
242.23,33.874
242.9,34.613
243.58,35.351
244.25,36.088
244.93,36.826
245.6,37.563
246.28,38.3
246.95,39.037
247.63,39.774
248.31,40.511
248.98,41.247
249.66,41.983
250.34,42.719
251.01,43.454
251.69,44.189
252.37,44.924
253.04,45.659
253.72,46.393
254.4,47.127
255.08,47.861
255.75,48.595
256.43,49.328
257.11,50.061
257.79,50.794
258.47,51.527
259.15,52.26
259.83,52.993
260.5,53.725
261.18,54.457
261.86,55.19
262.54,55.922
263.22,56.655
263.9,57.387
264.58,58.12
265.26,58.853
265.94,59.586
266.62,60.319
267.3,61.052
267.98,61.786
268.65,62.519
269.33,63.253
270.01,63.987
270.69,64.722
271.37,65.456
272.05,66.191
272.73,66.926
273.41,67.661
274.09,68.397
274.77,69.132
275.45,69.868
276.13,70.603
276.81,71.339
277.49,72.075
278.18,72.81
278.86,73.546
279.54,74.281
280.22,75.016
280.9,75.75
281.59,76.485
282.27,77.219
282.95,77.952
283.64,78.685
284.32,79.418
285.01,80.15
285.7,80.881
286.38,81.611
287.07,82.34
287.76,83.069
288.45,83.797
289.14,84.524
289.83,85.249
290.52,85.974
291.21,86.697
291.9,87.42
292.6,88.141
293.29,88.861
293.99,89.579
294.68,90.296
295.38,91.012
296.08,91.727
296.78,92.44
297.48,93.151
298.18,93.861
298.89,94.57
299.59,95.277
300.3,95.982
301.01,96.686
301.72,97.388
302.43,98.089
303.14,98.788
303.86,99.485
304.58,100.18
305.29,100.87
306.01,101.57
306.73,102.26
307.46,102.94
308.18,103.63
308.91,104.32
309.63,105.0
310.36,105.68
311.1,106.36
311.83,107.04
312.56,107.71
313.3,108.39
314.04,109.06
314.78,109.73
315.52,110.4
316.26,111.07
317.0,111.73
317.75,112.4
318.5,113.06
319.24,113.72
319.99,114.37
320.75,115.03
321.5,115.69
322.25,116.34
323.01,116.99
323.77,117.64
324.53,118.29
325.29,118.93
326.05,119.58
326.81,120.22
327.58,120.86
328.34,121.5
329.11,122.14
329.88,122.78
330.65,123.41
331.42,124.04
332.2,124.68
332.97,125.31
333.75,125.94
334.52,126.56
335.3,127.19
336.08,127.81
336.86,128.44
337.64,129.06
338.43,129.68
339.21,130.3
340.0,130.91
340.78,131.53
341.57,132.14
342.36,132.75
343.15,133.37
343.94,133.97
344.74,134.58
345.53,135.19
